oficina_id;nome_canonico;papeis;unidades;precisa_revisao;revisao;variantes
fan-confeccoes;FAN confecções;treino;;sim;Possível duplicata de 'F A N CONFECCOES LTDA' (93%);FAN CONFECÇÕES | FAN confecções
fel-azevedo-confeccao;FEL AZEVEDO CONFECÇÃO MATRIZ;treino;FILIAL|MATRIZ;sim;Possível duplicata de 'F & L AZEVEDO CONFECCAO LTDA - ME MATRIZ' (95%);FEL AZEVEDO CONFECÇÃO FILIAL | FEL AZEVEDO CONFECÇÃO MATRIZ
fenix-industria-textil;FENIX INDUSTRIA TÊXTIL LTDA;absenteismo|producao|treino;BASICO|CARGO|ELABORADO;nao;;FENIX INDUSTRIA TEXTIL | FENIX INDUSTRIA TÊXTIL LTDA | FENIX INDUSTRIA TÊXTIL LTDA - BÁSICO | FENIX INDUSTRIA TÊXTIL LTDA - CARGO | FENIX INDUSTRIA TÊXTIL LTDA BÁSICO | FENIX INDUSTRIA TÊXTIL LTDA ELABORADO
ferreira-e-araujo-confeccoes;FERREIRA E ARAUJO CONFECCOES LTDA;absenteismo|eficiencia|producao|treino;;nao;;FERREIRA E ARAUJO CONFECCOES LTDA
fios-do-sertao;FIOS DO SERTÃO LTDA;absenteismo|eficiencia|producao|treino;FILIAL;nao;;FIOS DO SERTÃO LTDA | FIOS DO SERTÃO LTDA - FILIAL | Fios do Sertão LTDA
flavia-georgia-b-silva-confeccoes;FLAVIA GEORGIA B SILVA CONFECCOES EIRELI;absenteismo|eficiencia|producao;;sim;Possível duplicata de 'Flávia Geórgia Braga Silva confecções Ltda' (94%);FLAVIA GEORGIA B SILVA CONFECCOES EIRELI
flavia-georgia-braga-silva;FLAVIA GEORGIA BRAGA SILVA - ME;treino;;nao;;FLAVIA GEORGIA BRAGA SILVA - ME
fortaleza-industria-de-vestuario;FORTALEZA INDUSTRIA DE VESTUARIO LTDA;absenteismo|treino;;nao;;FORTALEZA INDUSTRIA DE VESTUARIO LTDA
forte-fortex-producao-textil;FORTE FORTEX PRODUÇÃO TEXTIL;absenteismo|eficiencia|producao;TEAR;sim;Possível duplicata de 'M A P FORTE FORTEX PRODUÇÃO TEXTIL' (90%);FORTE FORTEX PRODUÇÃO TEXTIL | FORTE FORTEX PRODUÇÃO TEXTIL TEAR
francisco-edson-da-s-confeccoes;FRANCISCO EDSON DA S. CONFECCOES - EPP;absenteismo;;nao;;FRANCISCO EDSON DA S. CONFECCOES - EPP
freire-silva-confeccoes;FREIRE SILVA CONFECÇÕES LTDA;absenteismo|eficiencia|producao|treino;POLO;nao;;FREIRE SILVA CONFECÇÕES | FREIRE SILVA CONFECÇÕES LTDA | FREIRE SILVA CONFECÇÕES LTDA POLO
faccao-f-sales;Faccao F Sales;treino;;nao;;Faccao F Sales
flavia-georgia-braga-silva-confeccoes;Flávia Geórgia Braga Silva confecções Ltda;treino;;sim;Possível duplicata de 'FLAVIA GEORGIA B SILVA CONFECCOES EIRELI' (94%);FLAVIA GEORGIA BRAGA SILVA CONFECCOES LTDA | Flávia Geórgia Braga Silva confecções Ltda
fsilva-confeccoes;Fsilva Confecções;treino;;sim;Possível duplicata de 'F SILVA CONFECÇÕES LTDA' (97%);Fsilva Confecções
g-c-empreendimento-textil;G&C EMPREENDIMENTO TÊXTIL LTDA;treino;;sim;Possível duplicata de 'G&C EMPREENDIMENTOS TEXTIL LTDA' (98%);G&C EMPREENDIMENTO TÊXTIL LTDA
g-c-empreendimentos-textil;G&C EMPREENDIMENTOS TEXTIL LTDA;absenteismo|eficiencia|producao|treino;;sim;Possível duplicata de 'G&C EMPREENDIMENTO TÊXTIL LTDA' (98%);G&C EMPREENDIMENTOS TEXTIL LTDA
g-l-j-l-confeccoes;G. L. J. L. CONFECCÕES LTDA;absenteismo;;nao;;G. L. J. L. CONFECCÕES LTDA
g4-confeccoes;G4 Confecções;treino;;nao;;G4 Confecções
g4-industria-e-comercio-do-vestuario;G4 INDUSTRIA E COMERCIO DO VESTUARIO LTDA;absenteismo|eficiencia|producao|treino;;nao;;G4 INDUSTRIA E COMERCIO DO VESTUARIO LTDA | G4 indústria e comércio do vestuário Ltda
